LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID518703,518703,9,241.78457641601562,60.67886402080607,5.3804807692468515,0.0,0.0,0,0.5,1,,2201.190476190476,2149.0,1926.0,2661.0,46225.0,201.30912027218713,0.10112234177262801,2.008332949852091
ID518702,518702,10,549.36962890625,51.53588473051542,4.797413526148766,0.0,0.0,0,0.5,1,,2795.4285714285716,2915.0,1922.0,3460.0,58704.0,460.8260595309874,0.18782959645911815,1.918453372993827
ID518701,518701,0,227.3074493408203,54.72973833897671,4.09310016289177,0.0,0.0,0,0.5,1,,2370.2380952380954,2263.0,2001.0,3040.0,49775.0,279.6279500983234,0.08728127514476272,1.3608822962198024
ID518700,518700,1,288.9900207519531,33.95313017001513,3.9500147172923716,0.0,0.0,0,0.5,1,,2205.714285714286,2061.0,1896.0,2886.0,46320.0,294.45834049269905,0.11881017725967592,1.5909356988510948
ID518699,518699,2,201.3500518798828,59.604203461934866,3.0427985815442202,0.0,0.0,0,0.5,1,,2237.3809523809523,2200.0,2043.0,2712.0,46985.0,166.2039338254291,0.08625312697872141,2.137826432438539
ID518698,518698,,110.90483856201172,54.05971731455299,2.5749524862312088,0.0,0.0,0,0.5,1,,2126.095238095238,2136.0,1926.0,2348.0,44648.0,118.86290622473639,0.04125578605767421,1.4174044905486665
ID518697,518697,3,174.08975219726562,52.845967054987376,2.5965952386272915,0.0,0.0,0,0.5,1,,2121.5238095238096,2112.0,1858.0,2461.0,44552.0,180.87692474376576,0.061985250553347325,1.369192829997591
ID518696,518696,4,133.4388885498047,111.14130615940554,1.953004231347934,0.0,0.0,0,0.5,1,,1914.095238095238,1907.0,1677.0,2250.0,40196.0,179.68163644677347,0.05219422685632062,1.05685741419902
ID518711,518711,17,1096.1007080078125,61.31410979351645,18.287251619073693,0.0,0.0,0,0.5,1,,4068.095238095238,4078.0,2541.0,5725.0,85430.0,1007.0345527717459,0.251404357676818,1.6231246505071761
ID518709,518709,5,237.08277893066406,31.973939548069616,9.89221430339206,0.0,0.0,0,0.5,1,,2165.2380952380954,2055.0,1811.0,2868.0,45470.0,293.4869511174057,0.09560741864947205,1.2876074678487668
ID518708,518708,6,348.2438659667969,52.652792722950416,9.219972304417581,0.0,0.0,0,0.5,1,,2358.904761904762,2241.0,1905.0,3197.0,49537.0,397.9568952489584,0.12792490551097474,1.3445572144229392
ID518707,518707,,109.54512786865234,5.59508843391825,9.112055212032425,0.0,0.0,0,0.5,1,,1881.0,1917.0,1706.0,2007.0,39501.0,91.32688541716509,0.04944556803124346,1.9408304486718593
ID518706,518706,7,191.337158203125,25.567351941930276,7.591509581577068,0.0,0.0,0,0.5,1,,2094.6666666666665,2040.0,1663.0,2610.0,43988.0,250.79201210033253,0.0799204052098408,1.2362239336206
ID518705,518705,8,194.55856323242188,52.328104942933514,7.15564616217024,0.0,0.0,0,0.5,1,,2280.4761904761904,2249.0,1952.0,2519.0,47890.0,155.15431642323685,0.07670475639955733,2.0941960648449003
ID518719,518719,25,186.23089599609375,24.42180846710608,21.623093342712643,0.0,0.0,0,0.5,1,,2215.095238095238,2213.0,1904.0,2442.0,46517.0,145.99072051397812,0.07663598989720725,2.160036178909363
ID518718,518718,11,279.2686462402344,12.18651623115676,21.693243801711606,0.0,0.0,0,0.5,1,,2220.095238095238,2118.0,1848.0,2991.0,46622.0,355.0815265205872,0.11287285877540303,1.26828687064667
ID518717,518717,12,131.5028839111328,78.23191824692735,20.953414775701223,0.0,0.0,0,0.5,1,,2107.9523809523807,2115.0,1880.0,2328.0,44267.0,113.31481641448137,0.056797628254380825,1.9995969377115996
ID518716,518716,13,435.8373107910156,29.514729656889916,20.614523750685805,0.0,0.0,0,0.5,1,,2531.809523809524,2437.0,1991.0,3388.0,53168.0,428.58086973727836,0.15026002606950295,1.5433899766731256
ID518715,518715,14,274.6435852050781,28.054006918416988,20.569935678063306,0.0,0.0,0,0.5,1,,2346.3809523809523,2287.0,1917.0,2767.0,49274.0,229.50021267756512,0.10876208962771675,2.0057860314436415
ID518714,518714,15,111.26383209228516,25.571424088520928,20.057834631539862,0.0,0.0,0,0.5,1,,2176.4285714285716,2203.0,1970.0,2288.0,45705.0,80.40744457360364,0.05047469868915209,2.6011553625192416
ID518713,518713,16,289.7992248535156,63.18947161364507,19.27392289381893,0.0,0.0,0,0.5,1,,2401.285714285714,2368.0,1862.0,2923.0,50427.0,294.5902481171335,0.1020169967223749,1.5091753671624815
ID518712,518712,18,299.9271240234375,99.79915184710684,18.40182446184886,0.0,0.0,0,0.5,1,,2207.190476190476,2055.0,1845.0,2832.0,46351.0,316.27007747297546,0.10802194544463745,1.3607405805211796
ID518727,518727,32,491.3910827636719,73.17210671134771,25.134662586447316,0.0,0.0,0,0.5,1,,2765.285714285714,2612.0,2354.0,3446.0,58071.0,361.0243956933025,0.16668127200465996,2.1886082682203276
ID518726,518726,19,288.9371032714844,24.301070306871278,25.200863497446473,0.0,0.0,0,0.5,1,,2355.1428571428573,2241.0,2000.0,2912.0,49458.0,282.2460426142917,0.1038942674300637,1.5706647493380614
ID518725,518725,20,386.0081787109375,29.865825424131987,24.674944594156603,0.0,0.0,0,0.5,1,,2967.5714285714284,2961.0,2599.0,3471.0,62319.0,214.30412301880042,0.13543663572305736,3.3034969068546087
