LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID420870,420870,,4439.81787109375,849.1652737103789,1731.6014754510875,0.0,0.0,0,6.0,1,,13326.666666666666,13464.0,10897.0,16235.0,279860.0,1596.0356616734268,0.0988303381771494,1.5019953205335126
ID420871,420871,,2126.877685546875,910.4979957993701,1778.4053583117332,0.0,0.0,0,6.0,1,,7170.9047619047615,7244.0,5563.0,8542.0,150589.0,887.8084199173775,0.0730890440365632,1.1002749145184278
ID420868,420868,20,3138.030517578125,860.6013447837806,1631.7205238176687,0.0,0.0,0,6.0,1,,7285.428571428572,7026.0,5360.0,9291.0,152994.0,1097.7609289562354,0.12774414683362356,1.5035149789575002
ID420869,420869,17,3097.69873046875,1583.041230973165,1659.5358385926036,0.0,0.0,0,6.0,1,,5143.047619047619,4771.0,3637.0,7918.0,108004.0,1221.3142706195845,0.17283786388526162,1.2411492846671943
ID420866,420866,8,7318.82080078125,152.9905979171288,1123.7633722197681,0.0,0.0,0,6.0,1,,9099.904761904761,8462.0,5286.0,14579.0,191098.0,2754.5324086814067,0.25568093148713666,1.3453584069854214
ID420867,420867,19,13950.99609375,1011.565347226646,1405.71005128068,0.0,0.0,0,6.0,1,,15752.57142857143,13678.0,6997.0,29230.0,330804.0,7068.138995318559,0.3194726560747161,1.0792192164901866
ID420864,420864,,1888.73974609375,681.214563127044,927.6509658683398,0.0,0.0,0,6.0,1,,16837.714285714286,17379.0,13865.0,18689.0,353592.0,1395.451258298087,0.02583205681659936,0.60768872789884
ID420865,420865,,2186.82861328125,652.5789513678623,950.9098637259577,0.0,0.0,0,6.0,1,,17510.095238095237,17751.0,14820.0,19567.0,367712.0,1523.836569477249,0.03508024988054173,0.778876800934177
ID420874,420874,16,7760.97509765625,1268.0802666032757,2006.6881435306743,0.0,0.0,0,6.0,1,,10354.714285714286,9565.0,6574.0,16441.0,217449.0,2939.50691686305,0.24577893409357998,1.3899439993018237
ID420872,420872,,2747.91845703125,1227.4970553085584,1814.8803604695377,0.0,0.0,0,6.0,1,,9364.095238095239,8958.0,8258.0,11259.0,196646.0,957.6038797311708,0.08189846370319126,1.4804685016004477
ID420873,420873,22,4621.01171875,1413.280144275741,1829.534249690093,0.0,0.0,0,6.0,1,,11856.0,11600.0,8889.0,17121.0,248976.0,2666.9188776563865,0.14190775454184273,1.1049267469993393
ID420846,420846,2,2656.473876953125,1476.7814484985497,458.9121770099606,0.0,0.0,0,6.0,1,,4506.476190476191,4154.0,3054.0,7347.0,94636.0,1273.2000871444998,0.17335779998512169,1.0458835661923092
ID420847,420847,,2083.753173828125,1748.0873807816033,518.2923504601247,0.0,0.0,0,6.0,1,,5497.809523809524,5373.0,4470.0,6756.0,115454.0,713.228407948507,0.11068595348412129,1.5363574940538836
ID420844,420844,14,8352.5361328125,1568.393075650823,298.4440950425205,0.0,0.0,0,6.0,1,,9251.57142857143,8804.0,4652.0,16685.0,194283.0,3768.9245756771065,0.307543598415062,1.1547249994488302
ID420845,420845,15,2279.7099609375,1092.373882502121,310.69801435524334,0.0,0.0,0,6.0,1,,3761.7619047619046,3532.0,2550.0,5707.0,78997.0,988.9616729055734,0.1698168389682268,1.1043448819366344
ID420842,420842,,6918.76806640625,1041.7956046986037,152.19858443746375,0.0,0.0,0,6.0,1,,10106.238095238095,9749.0,5557.0,14827.0,212231.0,2682.3214741108477,0.20027429217772438,1.257341922154654
ID420843,420843,,16714.65234375,925.5236318397758,267.83056970680815,0.0,0.0,0,6.0,1,,20493.333333333332,19522.0,8595.0,32767.0,430360.0,7277.221972245545,0.27301715952352074,1.2079046797961106
ID420854,420854,,1980.1112060546875,1279.5465779946792,773.859148560419,0.0,0.0,0,6.0,1,,7062.0952380952385,6855.0,6092.0,8104.0,148304.0,587.294040899608,0.0837143068535043,1.8577738710548732
ID420855,420855,7,6980.34130859375,753.7937473058215,788.0314506500645,0.0,0.0,0,6.0,1,,11469.57142857143,10621.0,7080.0,17991.0,240861.0,3194.6480959790947,0.18253889349166902,1.108393934181771
ID420852,420852,,7867.8984375,713.7415916217307,642.8450637260338,0.0,0.0,0,6.0,1,,10851.904761904761,11155.0,5436.0,18126.0,227890.0,4064.9152869987574,0.2624173389190873,1.109874942161125
ID420853,420853,,2001.7225341796875,807.796548201027,671.125075684854,0.0,0.0,0,6.0,1,,8371.57142857143,8559.0,6546.0,9517.0,175803.0,895.7456431057074,0.06421501861436486,1.1278712010062106
ID420850,420850,,2741.239501953125,960.1438650791986,611.4929418150865,0.0,0.0,0,6.0,1,,8729.904761904761,8689.0,6783.0,11002.0,183328.0,1163.6518768412616,0.08068851685923126,1.1202826838192594
ID420851,420851,,10710.337890625,555.8545558616796,629.0942733051099,0.0,0.0,0,6.0,1,,13057.42857142857,11686.0,8163.0,20974.0,274206.0,3940.561325134131,0.2626176987085734,1.3784203700509876
ID420848,420848,,1840.26220703125,1513.3334903472721,552.4630497177728,0.0,0.0,0,6.0,1,,5163.142857142857,5228.0,3703.0,6986.0,108426.0,1045.426481667376,0.11356913975844217,1.0073810790244895
ID420849,420849,0,1858.5020751953125,1793.5242810066293,560.318963120826,0.0,0.0,0,6.0,1,,5064.333333333333,5211.0,3482.0,6521.0,106351.0,876.2450190062898,0.11197399667770172,1.1639900416748097
