LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID240447,240447,208,137.0146484375,26.771131121336772,2.251097517234358,0.0,0.0,0,0.5,1,,2452.6666666666665,2433.0,2282.0,2680.0,51506.0,105.81509029119303,0.05871906670478405,2.5711021250379784
ID240446,240446,3,132.88075256347656,29.037700186275238,1.2795928270947228,0.0,0.0,0,0.5,1,,2341.5238095238096,2337.0,2181.0,2564.0,49172.0,128.8055196983495,0.04929926859325572,1.70818618673396
ID240445,240445,0,164.6514434814453,71.394,0.0,0.0,0.0,0,0.5,1,,2252.0476190476193,2342.0,1958.0,2561.0,47293.0,160.89949539711932,0.10796249361134938,2.7277259212500606
ID240451,240451,156,168.0906524658203,43.35100506990922,12.191911881463744,0.0,0.0,0,0.5,1,,2692.6666666666665,2695.0,2382.0,2943.0,56546.0,147.52129789739965,0.05594589620588884,1.934124533000994
ID240450,240450,6,183.1693572998047,53.439790723090326,9.10646241116018,0.0,0.0,0,0.5,1,,2298.809523809524,2260.0,2012.0,2744.0,48275.0,224.2314917774974,0.07462789738590882,1.423899941480439
ID240449,240449,7,129.5474853515625,105.2400149134762,8.929476715771662,0.0,0.0,0,0.5,1,,2179.7619047619046,2169.0,1986.0,2431.0,45775.0,110.34668312274037,0.05302874027778175,1.9895316681805695
ID240448,240448,2,229.99838256835938,89.76650562779878,4.425205327953526,0.0,0.0,0,0.5,1,,2288.809523809524,2305.0,1933.0,2625.0,48065.0,188.14000612512456,0.08770960267128954,1.9619714110018536
ID240455,240455,157,152.4939422607422,108.3628205740686,15.00190419869936,0.0,0.0,0,0.5,1,,2382.5714285714284,2417.0,2195.0,2526.0,50034.0,110.18782665456807,0.05702778691624473,2.333148717708256
ID240454,240454,9,326.6668701171875,44.83317402127955,13.937590069449397,0.0,0.0,0,0.5,1,,2647.3333333333335,2617.0,2038.0,3427.0,55594.0,437.14395035655394,0.11536080626354721,1.2527287786343115
ID240453,240453,10,326.0748291015625,72.80274221682565,12.98508675984365,0.0,0.0,0,0.5,1,,2601.285714285714,2566.0,2115.0,3564.0,54627.0,413.70486374432954,0.11604493425145933,1.3075910252087473
ID240452,240452,5,201.35879516601562,44.16651705434758,12.412453794826718,0.0,0.0,0,0.5,1,,2798.3333333333335,2756.0,2416.0,3256.0,58765.0,255.9977213440255,0.06526194521085431,1.3393588240450403
ID240459,240459,12,151.47572326660156,34.200303811006606,18.969339152561055,0.0,0.0,0,0.5,1,,2580.095238095238,2554.0,2365.0,2794.0,54182.0,129.76012668069677,0.05604295741534353,2.1103958904810125
ID240458,240458,13,190.58688354492188,67.37041594307134,18.380162520287367,0.0,0.0,0,0.5,1,,2739.3333333333335,2781.0,2356.0,3036.0,57526.0,180.98103031349262,0.06089052445090671,1.7374846073164494
ID240457,240457,14,159.4806365966797,0.3507295662225055,18.018895707072545,0.0,0.0,0,0.5,1,,2337.6666666666665,2385.0,2095.0,2515.0,49091.0,135.45565079882542,0.06493981356140473,2.1047544012497896
ID240456,240456,8,267.23236083984375,35.729879297170875,17.31727405407669,0.0,0.0,0,0.5,1,,3087.3333333333335,3042.0,2647.0,3465.0,64834.0,196.7179029303976,0.0858382207303792,2.481333929175987
ID240463,240463,15,219.41078186035156,66.09055386327117,20.71478480523774,0.0,0.0,0,0.5,1,,2746.3809523809523,2793.0,2399.0,2994.0,57674.0,177.3207478527192,0.06868556564357588,1.9908876626004153
ID240462,240462,16,206.0687713623047,65.93076669003389,19.90487076623402,0.0,0.0,0,0.5,1,,2837.4761904761904,2867.0,2567.0,3069.0,59587.0,151.8218097137625,0.06706823978269434,2.34937732243121
ID240461,240461,17,232.1839599609375,20.621640117865645,19.67553582212547,0.0,0.0,0,0.5,1,,2376.285714285714,2394.0,2036.0,2740.0,49902.0,173.9158252883109,0.09177993818177733,2.297217954310163
ID240460,240460,11,295.0802307128906,99.51891284211796,19.466600594843957,0.0,0.0,0,0.5,1,,2560.4761904761904,2525.0,2212.0,3174.0,53770.0,283.4938480897988,0.1031899350912297,1.6896398616520825
ID240467,240467,204,125.95475769042969,52.39622842512987,22.946058163712728,0.0,0.0,0,0.5,1,,2589.3809523809523,2565.0,2369.0,2809.0,54377.0,123.91588929208238,0.046342600604387815,1.8509958310961427
ID240466,240466,,139.1326141357422,54.98331613943305,22.555795279830342,0.0,0.0,0,0.5,1,,2550.0476190476193,2541.0,2301.0,2801.0,53551.0,146.0131761829994,0.038577834848844125,1.2974332922687415
ID240465,240465,18,268.63800048828125,104.99400615246898,22.02301501466355,0.0,0.0,0,0.5,1,,2591.904761904762,2555.0,2086.0,3191.0,54430.0,334.89877646266564,0.09588866902012631,1.3543668905786674
ID240464,240464,19,223.24978637695312,53.601192433155255,21.621108461946637,0.0,0.0,0,0.5,1,,2829.7619047619046,2777.0,2334.0,3477.0,59425.0,296.3389790024095,0.0737742822464548,1.3121488554739345
ID240471,240471,21,180.5523223876953,4.310148492672003,23.417479192776906,0.0,0.0,0,0.5,1,,2505.0,2484.0,2170.0,2991.0,52605.0,247.62027380648783,0.057919391854720816,1.107702004637004
ID240470,240470,22,175.52182006835938,48.8387940044761,23.206287068648898,0.0,0.0,0,0.5,1,,2566.0476190476193,2559.0,2307.0,2852.0,53887.0,152.44916404837258,0.054985218168701624,1.7545640951436263
