LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID644187,644187,0,1005.4253540039062,74.08038839434282,22.375183906626287,0.0,0.0,0,0.5,1,,2615.6666666666665,2525.0,1276.0,4300.0,54929.0,753.8179046250715,0.3063651050080775,1.6274987789105926
ID644186,644186,1,4676.83642578125,172.05698354034251,3.5066477886618608,0.0,0.0,0,0.5,1,,6685.476190476191,5656.0,2128.0,14323.0,140395.0,3419.452684554176,0.6834600830195128,1.5875085581744952
ID644189,644189,2,7342.60888671875,57.565901521028074,25.18449455483403,0.0,0.0,0,0.5,1,,15837.857142857143,15247.0,10064.0,24552.0,332595.0,3958.0026059328748,0.4809738380166079,2.5991084947919276
ID644188,644188,3,1210.373046875,56.636810210221604,23.78413218609668,0.0,0.0,0,0.5,1,,5241.0,5389.0,3409.0,6765.0,110061.0,1033.8359637776198,0.15333564975677558,1.3479691132781901
ID644191,644191,4,510.80023193359375,194.47525564251686,84.16990923878521,0.0,0.0,0,0.5,1,,1803.6190476190477,1727.0,1143.0,2539.0,37876.0,441.41459833024055,0.215726785658477,1.450094161477401
ID644190,644190,5,1325.7525634765625,171.52378082305964,64.79828717577725,0.0,0.0,0,0.5,1,,3577.714285714286,3560.0,1701.0,5273.0,75132.0,1113.4023595653614,0.31911286807027806,1.5546974052347329
ID644193,644193,6,12232.4814453125,98.0891306584915,87.67209052685007,0.0,0.0,0,0.5,1,,15540.714285714286,11511.0,5532.0,36887.0,326355.0,9204.74247952031,0.7928259724984625,1.4932381010150129
ID644192,644192,7,10189.70703125,73.41958649783125,86.22012793064859,0.0,0.0,0,0.5,1,,13411.190476190477,9879.0,4362.0,37195.0,281635.0,9291.201696331038,0.6102240613406368,1.0940280434388299
ID644195,644195,8,807.461181640625,34.966443391564184,127.21646974075121,0.0,0.0,0,0.5,1,,3208.3333333333335,3354.0,2065.0,4128.0,67375.0,552.9580755657099,0.22682100740201577,2.145454680292652
ID644194,644194,9,4577.849609375,199.553677336725,104.26251696364193,0.0,0.0,0,0.5,1,,7349.428571428572,6697.0,3232.0,12181.0,154338.0,2908.8722655253973,0.6929994990147001,2.068402286487492
ID644201,644201,4,565.5897216796875,194.216660902188,84.2293558341814,0.0,0.03,1,0.5,1,,1954.7619047619048,1998.0,913.0,2842.0,41050.0,564.4484834563651,0.23396996949486062,1.313273193892718
ID644200,644200,5,1127.8636474609375,171.967398852146,64.74373820776147,0.0,0.03,1,0.5,1,,3339.5238095238096,3458.0,1664.0,4833.0,70130.0,898.6040072828308,0.2959991265790482,1.6975864871365922
ID644203,644203,6,11547.18359375,98.09993463442953,87.97592121905724,0.0,0.03,1,0.5,1,,14898.42857142857,12570.0,4045.0,37367.0,312867.0,8827.898830250766,0.7502344863344289,1.4468179832541277
ID644202,644202,7,10387.5068359375,73.39951818728463,86.19022055416563,0.0,0.03,1,0.5,1,,13296.380952380952,9435.0,4031.0,39519.0,279224.0,10207.864019843673,0.6097532076122634,0.986786872940056
ID644205,644205,8,769.0437622070312,34.94310110694284,127.24215134272467,0.0,0.03,1,0.5,1,,3193.714285714286,3279.0,1979.0,3854.0,67068.0,518.2634603034583,0.22518549338771374,2.265238997972873
ID644204,644204,9,4241.0107421875,199.6137252140207,104.23727519395528,0.0,0.03,1,0.5,1,,6613.714285714285,7065.0,2328.0,12411.0,138888.0,3260.885372760857,0.6894196403599137,1.6553354091027879
ID644197,644197,0,1110.284912109375,74.27579371412594,22.37239778881469,0.0,0.03,1,0.5,1,,2621.9523809523807,2428.0,1084.0,4468.0,55061.0,920.1218112940522,0.3189664329303175,1.3782268563932845
ID644196,644196,1,4147.16943359375,171.9342080395232,3.808756953137774,0.0,0.03,1,0.5,1,,6388.0,5581.0,3237.0,12693.0,134148.0,2959.3561461912623,0.6568086108399938,1.711449796335826
ID644199,644199,2,5012.00439453125,57.46908923194108,25.186830188586693,0.0,0.03,1,0.5,1,,12989.0,12593.0,9131.0,17591.0,272769.0,2474.4476151254444,0.40643390039628635,3.0338775437163563
ID644198,644198,3,1256.16455078125,56.53153113447043,23.750367994737186,0.0,0.03,1,0.5,1,,4406.333333333333,4471.0,1931.0,6539.0,92533.0,1466.2615842111304,0.19941381008521236,0.9992682153502098
ID644233,644233,7,11038.640625,73.37976791359723,86.14520092999518,0.0,0.06,2,0.5,1,,14176.238095238095,10220.0,4825.0,41408.0,297701.0,10457.036506127162,0.6399265379858888,1.0580059187713606
ID644232,644232,4,551.7380981445312,194.18558273126828,84.10268214251667,0.0,0.06,2,0.5,1,,1874.2380952380952,1966.0,998.0,2623.0,39359.0,502.3164246530174,0.23124429276135375,1.401535718275343
ID644235,644235,9,4711.80126953125,199.45421994921858,104.6212047027676,0.0,0.06,2,0.5,1,,6908.428571428572,6226.0,1312.0,14815.0,145077.0,3883.9128539583453,0.7153800054887919,1.483598018338965
ID644234,644234,6,11642.4482421875,98.17216234541426,88.27903601071195,0.0,0.06,2,0.5,1,,15439.0,13452.0,5998.0,35828.0,324219.0,8489.954917430363,0.7599408435345988,1.5704549947479176
ID644236,644236,8,780.4580078125,34.96593097720068,127.23517393076304,0.0,0.06,2,0.5,1,,3184.285714285714,3237.0,1989.0,4012.0,66870.0,515.780005705644,0.22297463145583968,2.251207504564511
