LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID986319,986319,0,16168.8798828125,6.768167110225604,75.3208040597845,0.0,0.0,0,0.5,1,,24050.285714285714,23834.0,10717.0,46331.0,505056.0,10561.028700571062,0.703704527301379,1.881222136662626
ID986318,986318,1,16042.8125,214.9616965268429,59.27889023390313,0.0,0.0,0,0.5,1,,25353.714285714286,23849.0,7767.0,47571.0,532428.0,11997.175855770629,0.6501601018564181,1.6652781936789036
ID986317,986317,2,16907.634765625,149.02455130147158,56.02602668254031,0.0,0.0,0,0.5,1,,23078.95238095238,19501.0,6397.0,53590.0,484658.0,13475.401494857919,0.7190845860232723,1.432805058977394
ID986316,986316,3,11626.63671875,77.172627320772,54.24363773658982,0.0,0.0,0,0.5,1,,22345.52380952381,21661.0,11644.0,34630.0,469256.0,6643.804103215624,0.5738633723299706,2.452704311304358
ID986315,986315,4,7557.46337890625,31.469376741938245,31.419395135790293,0.0,0.0,0,0.5,1,,18364.571428571428,18394.0,9013.0,27135.0,385656.0,5161.426184412876,0.4030154353278868,2.04409136443544
ID986314,986314,5,4029.70361328125,35.026002079532475,29.096952496695256,0.0,0.0,0,0.5,1,,10679.857142857143,10874.0,4763.0,15602.0,224277.0,3058.072502177054,0.343772867522926,1.7868717810831822
ID986313,986313,6,1853.5909423828125,37.672734450163034,26.332451463981474,0.0,0.0,0,0.5,1,,9853.47619047619,10113.0,7362.0,11686.0,206923.0,1134.952096744511,0.17481222118922662,2.583718953001663
ID986312,986312,7,13702.845703125,115.39432354618738,25.609501542854357,0.0,0.0,0,0.5,1,,24855.666666666668,23849.0,9892.0,43437.0,521969.0,9089.095919470392,0.5218110627181677,1.8753713213706096
ID986311,986311,8,1742.4525146484375,39.634519182536295,23.381571804689624,0.0,0.0,0,0.5,1,,9262.714285714286,9653.0,6924.0,10589.0,194517.0,1069.8657926514497,0.18380383661619604,2.688523216942853
ID986310,986310,9,11959.1982421875,93.2317382911829,15.441359369287646,0.0,0.0,0,0.5,1,,17397.285714285714,18402.0,5050.0,34836.0,365343.0,9632.46893139478,0.6673683876771533,1.4457990740321613
ID986309,986309,10,1954.50830078125,10.937498106598717,3.727447249711663,0.0,0.0,0,0.5,1,,6207.333333333333,6582.0,3665.0,8316.0,130354.0,1414.1571812685227,0.2783602557855007,1.9115750212679843
ID986308,986308,11,10754.232421875,11.690511723765827,0.8983456031577496,0.0,0.0,0,0.5,1,,14603.809523809523,12385.0,4032.0,34790.0,306680.0,8702.678993385012,0.6746925427988149,1.3521161951353464
ID986327,986327,12,3514.43115234375,170.00347197653372,211.3456133858189,0.0,0.0,0,0.5,1,,10847.238095238095,11044.0,7388.0,14500.0,227792.0,2123.9478078512643,0.31316209673070106,2.4358816372673555
ID986326,986326,13,8364.3876953125,127.27914080404088,182.52401361816808,0.0,0.0,0,0.5,1,,15856.666666666666,15399.0,6694.0,26215.0,332990.0,5703.61449725815,0.5259791307585049,1.9165124590501033
ID986325,986325,14,9240.2998046875,108.71381668421952,172.70159247617843,0.0,0.0,0,0.5,1,,16976.619047619046,15610.0,9145.0,29142.0,356509.0,6329.0872207308885,0.5506984877866404,1.9051388738577348
ID986324,986324,15,13028.662109375,173.16047530789618,158.9789051232192,0.0,0.0,0,0.5,1,,21387.333333333332,20229.0,10534.0,42884.0,449134.0,9347.811339203063,0.5563081982448929,1.635673245581808
ID986323,986323,16,6161.353515625,115.0894372054567,105.93457520192467,0.0,0.0,0,0.5,1,,15331.857142857143,16456.0,7247.0,21273.0,321969.0,4021.424241306981,0.4234358658353495,2.268269246162957
ID986322,986322,17,5604.373046875,76.07683933995959,98.77370665037196,0.0,0.0,0,0.5,1,,13809.714285714286,12834.0,9423.0,20341.0,290004.0,2871.335980738881,0.41751603100728524,2.8331909911111537
ID986321,986321,18,2326.0771484375,42.45192031152662,84.40444494074457,0.0,0.0,0,0.5,1,,8162.142857142857,8052.0,5815.0,10190.0,171405.0,1342.3571911273946,0.2784443835651123,2.6486386756316844
ID986320,986320,19,6292.9736328125,23.28559842325867,82.15767228096223,0.0,0.0,0,0.5,1,,15097.666666666666,14408.0,10091.0,21075.0,317051.0,3051.558197598947,0.44909838325710233,3.0666329022638243
ID986223,986223,15,13850.15625,173.11616977527976,158.89455237499627,0.0,0.03,1,0.5,1,,22316.666666666668,22032.0,9201.0,44602.0,468650.0,11662.552059190706,0.5805876181297581,1.4057721043960663
ID986222,986222,16,6042.8046875,115.16586109908127,105.47508907026008,0.0,0.03,1,0.5,1,,13614.714285714286,13780.0,5239.0,21272.0,285909.0,4526.405407637026,0.41818843623840235,1.7738755926813
ID986221,986221,17,7176.1669921875,76.05059965693825,98.49265507412697,0.0,0.03,1,0.5,1,,14815.52380952381,13827.0,8050.0,23610.0,311126.0,4466.780413441516,0.47790447563201466,2.1450979939437547
ID986220,986220,18,3863.23828125,42.19030967670172,84.11938824107986,0.0,0.03,1,0.5,1,,10337.095238095239,10836.0,4947.0,15014.0,217079.0,2979.890936003563,0.3504468473483019,1.8004157607565123
ID986219,986219,19,7173.71435546875,23.138088506297315,82.0996440864055,0.0,0.03,1,0.5,1,,15032.047619047618,15492.0,5989.0,22761.0,315673.0,4930.275372392403,0.48349995989980454,1.9874026531574958
