LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID1033615,1033615,28,8290.0263671875,106.13890153801113,6.481324893787064,0.0,0.0,0,0.5,1,,13443.857142857143,12464.0,3263.0,27102.0,282321.0,7272.504886802856,0.5628265661628072,1.331476992184979
ID1033631,1033631,42,17971.3203125,58.90487852808903,64.61009403113898,0.0,0.0,0,0.5,1,,23627.761904761905,17287.0,9277.0,59132.0,496183.0,13652.06081111845,0.6885162213699868,1.4114428785969078
ID1033630,1033630,43,3677.96142578125,210.678,49.494,0.0,0.0,0,0.5,1,,9689.52380952381,10036.0,3985.0,14974.0,203480.0,3074.857063654303,0.3973999895812714,1.7923161307008204
ID1033629,1033629,44,12664.2705078125,11.873919505778826,37.52033684430218,0.0,0.0,0,0.5,1,,18068.95238095238,14139.0,8389.0,38824.0,379448.0,9601.45778762887,0.6713393054529774,1.5118309791481728
ID1033628,1033628,15,10718.4677734375,153.23695176755578,33.220387727037426,0.0,0.0,0,0.5,1,,17743.0,17824.0,4117.0,35178.0,372603.0,8896.054322001411,0.5899401621223287,1.480085504881373
ID1033627,1033627,16,18697.7109375,19.485361944669243,32.661287986029784,0.0,0.0,0,0.5,1,,33465.333333333336,31195.0,9622.0,53072.0,702772.0,12913.01514493549,0.6241394750008594,1.991846283720801
ID1033626,1033626,17,16117.9501953125,20.101201736082693,30.54324823005895,0.0,0.0,0,0.5,1,,54087.71428571428,60049.0,22743.0,65535.0,1135842.0,14299.206768708735,0.31575714282709416,1.8154911056727934
ID1033625,1033625,18,14199.953125,19.053179555350532,29.941352166626892,0.0,0.0,0,0.5,1,,56425.80952380953,63770.0,34892.0,65535.0,1184942.0,10877.237358902526,0.2255314317010978,1.9092896183714594
ID1033624,1033624,19,22170.40625,74.8763743388524,29.80306879000789,0.0,0.0,0,0.5,1,,26733.380952380954,19016.0,5222.0,65535.0,561401.0,17943.33995797937,0.7795584378599191,1.3053200830984035
ID1033623,1033623,20,16882.357421875,20.12899665196477,29.777065970388243,0.0,0.0,0,0.5,1,,58652.71428571428,65535.0,34026.0,65535.0,1231707.0,10560.14230085399,0.31265027520617034,2.645806757964063
ID1033622,1033622,21,13100.4794921875,18.18786483422972,29.40143163648622,0.0,0.0,0,0.5,1,,34441.23809523809,34238.0,17499.0,59280.0,723266.0,12851.789478141796,0.2459810960376707,1.0581212271070466
ID1033621,1033621,22,14097.82421875,23.852002582642253,28.07336858725226,0.0,0.0,0,0.5,1,,18840.285714285714,13938.0,7208.0,46178.0,395646.0,10838.923955554154,0.6793060163965957,1.4062642232703368
ID1033620,1033620,23,5215.63916015625,195.56030496974867,22.261779947315414,0.0,0.0,0,0.5,1,,11012.047619047618,9622.0,3725.0,19057.0,231253.0,4773.062826699335,0.39963957857020727,1.3175078240896045
ID1033619,1033619,24,8530.4912109375,117.03978441619813,17.684579811943685,0.0,0.0,0,0.5,1,,14706.47619047619,14377.0,5538.0,27809.0,308836.0,6809.8134601400625,0.5322971865319827,1.5004259642536732
ID1033618,1033618,25,8807.7353515625,66.3696007380769,12.210132053319269,0.0,0.0,0,0.5,1,,12654.619047619048,10382.0,3826.0,29676.0,265747.0,7177.991052350167,0.5911465172409569,1.3099693112474449
ID1033617,1033617,26,10437.7568359375,65.63311938442064,10.195858553480114,0.0,0.0,0,0.5,1,,15018.095238095239,12765.0,3593.0,35527.0,315380.0,9746.833659731565,0.5746774774169892,1.1246408552806153
ID1033616,1033616,27,10789.111328125,150.9575020108579,7.849528521644754,0.0,0.0,0,0.5,1,,16182.142857142857,14195.0,4706.0,35150.0,339825.0,8614.059787845186,0.6158279022879181,1.4319320302031824
ID1033647,1033647,58,21308.072265625,74.36952322168423,132.1433936636666,0.0,0.0,0,0.5,1,,24585.904761904763,19589.0,3145.0,65535.0,516304.0,20655.50651256164,0.7679435897774394,1.0340493293472253
ID1033646,1033646,59,17480.5625,173.14706885582203,127.43157476738341,0.0,0.0,0,0.5,1,,24150.14285714286,21459.0,8958.0,52584.0,507153.0,13085.960944025908,0.7112902424479999,1.5341479955314128
ID1033645,1033645,60,11039.04296875,132.25140034397236,125.03131242062338,0.0,0.0,0,0.5,1,,30542.666666666668,30561.0,18841.0,42745.0,641396.0,6161.742946061069,0.36171590727768205,2.6333856761109797
ID1033644,1033644,29,20736.375,80.4107515628774,118.85254196542006,0.0,0.0,0,0.5,1,,27360.190476190477,21566.0,7145.0,65535.0,574564.0,16643.032447901576,0.7066508998891771,1.3613721898186164
ID1033643,1033643,30,12884.1484375,211.55900996009416,115.75933818037913,0.0,0.0,0,0.5,1,,20406.095238095237,19031.0,8710.0,38290.0,428528.0,8846.085800537783,0.6582522879799788,1.8313886976881708
ID1033642,1033642,31,2468.769287109375,98.56012917616216,111.8125012374322,0.0,0.0,0,0.5,1,,8696.238095238095,8716.0,6786.0,10689.0,182621.0,1080.959708072503,0.29720453053429974,3.686369633251162
ID1033641,1033641,32,15638.3857421875,75.80775005551301,108.52871600618792,0.0,0.0,0,0.5,1,,21895.714285714286,19090.0,5731.0,50486.0,459810.0,12784.011221611381,0.6467649045504269,1.3453547385904194
