LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID1119697,1119697,0,12798.9912109375,60.19960449501424,63.26054322890841,0.0,0.0,0,0.5,1,,20176.809523809523,18394.0,5986.0,41906.0,423713.0,9295.678725187568,0.5838110100830756,1.6001854155635504
ID1119696,1119696,1,4232.99853515625,177.78488702289675,62.61886565799789,0.0,0.0,0,0.5,1,,9684.857142857143,9357.0,5703.0,15304.0,203382.0,2694.218723224124,0.40483326353261434,2.071771108694007
ID1119699,1119699,2,2262.412841796875,92.32753491242045,66.73084358541327,0.0,0.0,0,0.5,1,,5711.428571428572,5443.0,2143.0,9467.0,119940.0,2059.2422045847,0.28980251268002866,1.2463678641378144
ID1119698,1119698,3,24079.28125,24.98174466155182,66.50041229449562,0.0,0.0,0,0.5,1,,29703.0,22395.0,8261.0,65535.0,623763.0,19387.41227962102,0.7928211009265388,1.3550293757103857
ID1119701,1119701,4,21022.83984375,181.0078030365944,75.59448906138493,0.0,0.0,0,0.5,1,,23622.714285714286,15650.0,4364.0,65535.0,496077.0,19908.869754817464,0.7848054947532491,1.0434804774523327
ID1119700,1119700,5,8528.0234375,154.5849758560599,70.85447025924506,0.0,0.0,0,0.5,1,,14331.47619047619,13241.0,5429.0,26595.0,300961.0,6590.735532693203,0.575379297814336,1.5883863088245003
ID1119703,1119703,6,18923.36328125,67.92382216315637,78.46442420820229,0.0,0.0,0,0.5,1,,30877.904761904763,27970.0,15638.0,55282.0,648436.0,13055.067762768456,0.6269224635145133,1.8228278884830245
ID1119702,1119702,7,1654.1766357421875,27.471927459193985,76.86967315469049,0.0,0.0,0,0.5,1,,5633.0952380952385,5710.0,3575.0,7856.0,118295.0,1257.444150042534,0.23773823885235776,1.7209118203619111
ID1119705,1119705,8,3703.368408203125,148.91968813997792,80.8366827390268,0.0,0.0,0,0.5,1,,9344.952380952382,9158.0,4202.0,13774.0,196244.0,2552.472026804417,0.3837571356362824,2.03068559263127
ID1119704,1119704,9,9567.0732421875,95.58591174045097,80.2971143676101,0.0,0.0,0,0.5,1,,16451.0,15005.0,7605.0,31863.0,345471.0,7587.525077388542,0.533705553057871,1.5089744629731086
ID1119707,1119707,10,3556.668212890625,168.08333695402288,85.5188923369846,0.0,0.0,0,0.5,1,,9499.857142857143,9454.0,5532.0,13063.0,199497.0,2254.4519796552395,0.39227323566521033,2.374489667839125
ID1119706,1119706,11,4230.82275390625,205.0834626701965,83.6282624074793,0.0,0.0,0,0.5,1,,13461.952380952382,13363.0,9685.0,17202.0,282701.0,2340.33953682346,0.3220842647595259,2.8026544029465548
ID1119709,1119709,12,2848.848876953125,116.42575747103476,96.8084435956145,0.0,0.0,0,0.5,1,,7511.9047619047615,8005.0,3053.0,11257.0,157750.0,2417.3737382697345,0.32466992499301006,1.5232481294755356
ID1119708,1119708,13,12800.7353515625,148.8820187757952,90.86976968762312,0.0,0.0,0,0.5,1,,18730.0,15524.0,4796.0,43014.0,393330.0,9783.766657070271,0.6252137154665777,1.4729218499703864
ID1119711,1119711,14,14201.7607421875,188.58067399695193,112.67146347338593,0.0,0.0,0,0.5,1,,38434.857142857145,40973.0,21802.0,57304.0,807132.0,11533.37073576374,0.3286708797177679,1.648704505941879
ID1119710,1119710,15,4595.8642578125,23.600910232962626,108.3506879648133,0.0,0.0,0,0.5,1,,10864.904761904761,11305.0,3282.0,17489.0,228163.0,4343.290260905456,0.36152052214635527,1.3284518841075472
ID1119685,1119685,16,7360.6630859375,157.6019097025314,1.0706208626760494,0.0,0.0,0,0.5,1,,11688.904761904761,9674.0,2652.0,26711.0,245467.0,6345.014317594263,0.5216867887545785,1.263152476922583
ID1119684,1119684,17,4987.72998046875,97.455,0.0,0.0,0.0,0,0.5,1,,9389.619047619048,9241.0,4017.0,14846.0,197182.0,3645.83220233996,0.5629878329430339,1.8553451083169588
ID1119687,1119687,18,11460.9755859375,111.5029550728508,8.446554258215889,0.0,0.0,0,0.5,1,,16926.04761904762,14155.0,4387.0,37398.0,355447.0,9363.52819441577,0.624647859286369,1.390023187095261
ID1119686,1119686,19,1928.3507080078125,12.263454493021033,6.142689953948182,0.0,0.0,0,0.5,1,,5679.666666666667,5786.0,2837.0,8070.0,119273.0,1630.3306515346305,0.29935712644450896,1.6052335156953175
ID1119689,1119689,20,16814.732421875,172.70510425921142,17.712279562607634,0.0,0.0,0,0.5,1,,21386.380952380954,17808.0,5027.0,56488.0,449114.0,14130.473305859894,0.7138285377328175,1.2607736439666184
ID1119688,1119688,21,13060.0263671875,161.7396157390697,11.486048622002059,0.0,0.0,0,0.5,1,,19353.666666666668,18763.0,5905.0,44060.0,406427.0,11428.71983790544,0.6623773316360341,1.3494957432394654
ID1119691,1119691,22,20673.953125,173.07204923215548,19.810459232403222,0.0,0.0,0,0.5,1,,23430.666666666668,17242.0,6242.0,65535.0,492044.0,19714.276655087633,0.8021030076362299,1.0579967358576403
ID1119690,1119690,23,3340.25537109375,216.8373146185281,17.931778096488035,0.0,0.0,0,0.5,1,,9918.952380952382,9833.0,6464.0,15046.0,208298.0,2314.5285367908186,0.25267977830295507,1.7288753474904557
