LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID744331,744331,49,16308.224609375,130.38923605646278,93.18758520827144,0.0,0.0,0,0.5,1,,19822.95238095238,16008.0,5585.0,55631.0,416282.0,16756.17917210302,0.6776510469837692,0.9557137167851935
ID744330,744330,42,12779.220703125,132.05429391113293,91.02797721089462,0.0,0.0,0,0.5,1,,15335.952380952382,9825.0,4971.0,45894.0,322055.0,12047.196011836906,0.6591876893463017,1.0115057173583943
ID744329,744329,43,15174.4677734375,123.66560944961417,89.8136127277073,0.0,0.0,0,0.5,1,,21700.761904761905,17924.0,6522.0,47796.0,455716.0,11031.331623628952,0.7046752744334757,1.6263889257524056
ID744328,744328,44,8313.234375,84.00285102233923,89.7745577003343,0.0,0.0,0,0.5,1,,15577.952380952382,15918.0,5115.0,27692.0,327137.0,6279.240045389176,0.5155489317849088,1.687847521796177
ID744335,744335,37,1928.856201171875,163.97690799877753,108.09582606764545,0.0,0.0,0,0.5,1,,5419.047619047619,5259.0,2555.0,8011.0,113800.0,1706.011707937272,0.2904523416827983,1.4298940791266512
ID744334,744334,46,2143.274169921875,163.31460966008459,106.06216541359046,0.0,0.0,0,0.5,1,,5194.190476190476,5038.0,2752.0,8077.0,109078.0,1519.7437158628954,0.3407606837033167,1.7373036243581694
ID744333,744333,47,4144.017578125,144.5392814133703,105.79621205925456,0.0,0.0,0,0.5,1,,8055.714285714285,7636.0,3752.0,14676.0,169170.0,3059.2843140652544,0.4256120442735296,1.5722686823120275
ID744332,744332,48,13997.939453125,134.8312341416559,100.51139871546998,0.0,0.0,0,0.5,1,,19738.571428571428,17454.0,8963.0,45485.0,414510.0,10298.695512400725,0.6922353106498589,1.5680376666887763
ID744323,744323,25,3269.723876953125,79.475225382944,79.50128159489043,0.0,0.0,0,0.5,1,,15004.190476190477,14687.0,11808.0,18426.0,315088.0,1706.0322276864415,0.20158775027874296,2.950964462739198
ID744322,744322,18,9562.767578125,44.52051381525492,52.58569522242772,0.0,0.0,0,0.5,1,,13452.142857142857,10266.0,5295.0,31976.0,282495.0,7739.260289496112,0.6052300171961534,1.3107057364268215
ID744321,744321,19,3556.6552734375,141.35052098672293,49.80341986728183,0.0,0.0,0,0.5,1,,6791.952380952381,6399.0,2754.0,12235.0,142631.0,2981.1759672349176,0.43246914612136583,1.3756465674246376
ID744320,744320,20,4526.9365234375,104.93289425063575,49.70164541376286,0.0,0.0,0,0.5,1,,11124.238095238095,9253.0,5270.0,24761.0,233609.0,5216.685757305704,0.20847007304476906,0.7357214422101893
ID744327,744327,45,2377.642333984375,82.3448441236089,85.5744145232704,0.0,0.0,0,0.5,1,,8665.142857142857,8980.0,5480.0,12217.0,181968.0,2009.4057650388654,0.17487922705314005,1.2837577508960794
ID744326,744326,22,10663.9423828125,83.64881956268266,81.20450509667883,0.0,0.0,0,0.5,1,,15775.142857142857,12391.0,7409.0,41740.0,331278.0,9077.309492827235,0.5215494379430269,1.191394435056245
ID744325,744325,23,2276.97314453125,79.2885320156015,81.067528557017,0.0,0.0,0,0.5,1,,12987.47619047619,13285.0,10205.0,15242.0,272737.0,1549.9029846750932,0.14621625540302297,2.1378603843199877
ID744324,744324,24,3324.45263671875,89.78277933154565,80.31497714831634,0.0,0.0,0,0.5,1,,8236.57142857143,7578.0,4783.0,13124.0,172968.0,2487.2471041581007,0.27210980334777357,1.4166974748261054
ID744347,744347,57,8094.9072265625,171.85822084620392,138.63121012718173,0.0,0.0,0,0.5,1,,16908.190476190477,17266.0,10087.0,25291.0,355072.0,4360.512580179624,0.5296516525163847,2.6852663830932446
ID744346,744346,58,8206.5439453125,177.52351338918578,137.86421861973793,0.0,0.0,0,0.5,1,,11535.0,9895.0,4034.0,27177.0,242235.0,7841.954635165904,0.5892361366040425,1.0907474607039982
ID744345,744345,59,12881.0390625,170.70751916255645,137.66230739584836,0.0,0.0,0,0.5,1,,17505.095238095237,12880.0,5236.0,48501.0,367607.0,13925.886125862015,0.551740509422594,0.8938968516547793
ID744344,744344,60,11288.3623046875,184.33932052998517,137.08952854208943,0.0,0.0,0,0.5,1,,16839.52380952381,12182.0,6214.0,51422.0,353630.0,12396.086868923787,0.3774240492106875,0.7444526827613682
ID744351,744351,61,13279.0625,175.62314499114615,145.9189008922402,0.0,0.0,0,0.5,1,,19782.85714285714,18145.0,8441.0,40852.0,415440.0,8734.580088852092,0.7009376063643583,1.8666717597302578
ID744350,744350,62,17948.1484375,114.49398376577766,145.83313769697403,0.0,0.0,0,0.5,1,,22251.666666666668,14517.0,9062.0,65535.0,467285.0,14894.6451865539,0.6997873665973747,1.2300814798544013
ID744349,744349,63,10334.865234375,156.78790348096067,145.1053951722916,0.0,0.0,0,0.5,1,,12552.47619047619,8302.0,4190.0,37378.0,263602.0,10133.56932980205,0.6294132165071183,0.9569771810815899
ID744348,744348,64,16804.470703125,115.43134415800174,143.75667430159504,0.0,0.0,0,0.5,1,,21368.95238095238,15527.0,7079.0,58545.0,448748.0,14883.40170618327,0.6764795022124048,1.1586904225911496
ID744339,744339,41,3990.71875,76.48086821289587,134.36665406583182,0.0,0.0,0,0.5,1,,9965.761904761905,10639.0,4785.0,15600.0,209281.0,2987.283429886791,0.34404926318299656,1.7079278401561666
