LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID243459,243459,68,635.90234375,41.21458316911361,182.11459334651164,0.0,0.0,0,1.5,1,,6775.367231638418,3527.0,2402.0,43237.0,1199240.0,7501.149550209085,0.4699023865296491,0.5775028963250934
ID243458,243458,69,89.16351318359375,91.47654459465214,181.44390105015663,0.0,0.0,0,1.5,1,,6350.310734463277,6606.0,3913.0,8130.0,1124005.0,1029.222582576961,0.08950552558038363,1.0137621579637823
ID243457,243457,70,110.42657470703125,14.1849545289599,181.09582065915794,0.0,0.0,0,1.5,1,,3252.225988700565,2981.0,2068.0,8762.0,575644.0,1063.0764023696956,0.1689355176827757,0.8842532116978176
ID243456,243456,71,242.455810546875,94.35419765924709,179.41318001844402,0.0,0.0,0,1.5,1,,8308.564971751412,8522.0,3976.0,10741.0,1470616.0,1352.1275900973303,0.2047527877943075,2.0886719048814917
ID243463,243463,72,150.1509246826172,47.11996577601133,199.25141225293802,0.0,0.0,0,1.5,1,,3529.74011299435,2863.0,2322.0,14326.0,624764.0,1864.6955729561487,0.17841366088541477,0.5731854037573162
ID243462,243462,73,665.0367431640625,215.7029265296529,197.1332038621658,0.0,0.0,0,1.5,1,,9664.412429378532,6543.0,4949.0,65535.0,1710601.0,10533.313596010046,0.2614286540445342,0.3803040336372333
ID243461,243461,74,226.45913696289062,62.92226806882876,193.74914870167467,0.0,0.0,0,1.5,1,,3842.1129943502824,2754.0,2127.0,22638.0,680054.0,2898.9927558590707,0.24823286464607366,0.527128702938908
ID243460,243460,75,155.1988525390625,189.92290746271104,186.19900492581445,0.0,0.0,0,1.5,1,,6916.689265536723,6535.0,4254.0,11883.0,1224254.0,1511.0446302099717,0.1172000846117457,0.9603906746189673
ID243467,243467,76,331.03192138671875,16.02039220861458,210.47289253586348,0.0,0.0,0,1.5,1,,4545.474576271186,3011.0,2100.0,24605.0,804549.0,3639.6365719355026,0.3665671536651637,0.6699984187842696
ID243466,243466,77,169.7865447998047,175.59427184912732,208.2594868039281,0.0,0.0,0,1.5,1,,6412.180790960452,6425.0,4084.0,9346.0,1134956.0,1161.9494938334562,0.17747177841560063,1.6635172085521823
ID243465,243465,78,184.2142791748047,124.94310513166681,207.9241595915292,0.0,0.0,0,1.5,1,,4744.5197740113,4048.0,3051.0,11950.0,839780.0,1778.0253158362211,0.18824065916326008,0.8454605394942355
ID243464,243464,79,59.13169479370117,202.375408149768,202.92634605686834,0.0,0.0,0,1.5,1,,7002.299435028249,6989.0,6146.0,7959.0,1239407.0,377.1386826693704,0.04041625885318404,1.4425091419359521
ID243471,243471,80,144.83309936523438,175.9110465856423,222.45251037581406,0.0,0.0,0,1.5,1,,6492.779661016949,6182.0,4170.0,12498.0,1149222.0,1501.1967960574211,0.15633483577533547,1.1694864224349142
ID243470,243470,81,161.7722930908203,188.97201557274363,220.61951690953427,0.0,0.0,0,1.5,1,,8435.361581920904,8481.0,5420.0,10742.0,1493059.0,1070.5404509648522,0.10687273337018963,1.5215977060491153
ID243469,243469,82,61.826507568359375,216.8411168554265,215.09566876394155,0.0,0.0,0,1.5,1,,8425.655367231639,8446.0,7205.0,9412.0,1491341.0,507.6334910496289,0.03870854937014878,1.2370766511251399
ID243468,243468,83,71.69877624511719,172.98743344905347,213.3947368948233,0.0,0.0,0,1.5,1,,5773.762711864407,5733.0,4276.0,7268.0,1021956.0,557.4346681751261,0.06000801020541498,1.1727218886555375
ID243472,243472,84,739.9098510742188,126.86390078721183,222.86254915754864,0.0,0.0,0,1.5,1,,11275.463276836159,8748.0,3671.0,36166.0,1995757.0,7373.269193670942,0.49256599356932057,1.0093346511374217
ID243379,243379,2,195.43612670898438,205.57306219640373,2.9899156755685965,0.0,0.0,0,1.5,1,,5054.824858757062,4072.0,2364.0,24864.0,894704.0,3327.4107319924497,0.22727033007623576,0.5626420709071965
ID243378,243378,85,71.64315795898438,102.492,0.0,0.0,0.0,0,1.5,1,,2545.5423728813557,2559.0,0.0,11737.0,450561.0,1479.338192656147,0.2254434043854146,0.633121602133243
ID243383,243383,,56.311622619628906,85.97360391296674,10.25060081975561,0.0,0.0,0,1.5,1,,5155.485875706215,5280.0,3740.0,6299.0,912521.0,631.864809578332,0.06127750961589679,0.942209706778123
ID243382,243382,86,56.42420959472656,50.27223684813308,8.948700985159757,0.0,0.0,0,1.5,1,,4146.920903954802,4166.0,2922.0,5574.0,734005.0,581.7132459609725,0.06492085911495897,0.869187994412155
ID243381,243381,0,401.1077575683594,120.13621671755543,5.136125903947613,0.0,0.0,0,1.5,1,,6154.175141242938,3651.0,2464.0,39490.0,1089289.0,5997.633044287053,0.41045363401863555,0.5972074924881828
ID243380,243380,1,263.4954833984375,205.05081914395066,4.86355559798589,0.0,0.0,0,1.5,1,,5211.8418079096045,4183.0,2384.0,22022.0,922496.0,3157.7728644520084,0.2619292638690931,0.685155807639149
ID243387,243387,,56.201358795166016,54.532680041174075,17.435658149612028,0.0,0.0,0,1.5,1,,4732.751412429378,4649.0,3258.0,7347.0,837697.0,895.6430367153779,0.04163022354556297,0.4223805446718359
