LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID340111,340111,0,67.22489166259766,20.805,0.0,0.0,0.0,0,1.5,1,,3761.8022598870057,4150.0,0.0,5727.0,665839.0,1419.9639801751537,0.22292941937548857,0.9658609837362435
ID340117,340117,9,57.551883697509766,38.296964509602034,9.176013927814001,0.0,0.0,0,1.5,1,,6256.107344632768,6223.0,5287.0,7522.0,1107331.0,522.902025416221,0.0440482502282031,1.0095363356310927
ID340116,340116,10,126.52200317382812,158.42238838615083,8.059051396497386,0.0,0.0,0,1.5,1,,4973.327683615819,4775.0,3250.0,9823.0,880279.0,1303.1999972845479,0.1198132462453259,0.8166298209855267
ID340119,340119,3,133.1327362060547,16.57661810597358,12.968253956071539,0.0,0.0,0,1.5,1,,5525.909604519774,5077.0,3571.0,10213.0,978086.0,1388.1592343690431,0.11379036365800181,0.8133856659340563
ID340118,340118,4,235.80303955078125,224.037,11.607,0.0,0.0,0,1.5,1,,4963.214689265536,4602.0,0.0,15607.0,878489.0,2778.2159434872297,0.36136893808822623,0.9484229186062362
ID340113,340113,1,91.61846923828125,57.159,0.0,0.0,0.0,0,1.5,1,,5645.0282485875705,6165.0,0.0,9148.0,999170.0,2135.1380981241286,0.20132482629242404,0.8861495599511212
ID340112,340112,2,139.25559997558594,42.705,0.0,0.0,0.0,0,1.5,1,,5479.056497175141,5781.0,0.0,14039.0,969793.0,2437.6706343946335,0.2297473794671256,0.8398377838823786
ID340115,340115,8,58.35487747192383,78.90198264128595,5.482281013759013,0.0,0.0,0,1.5,1,,6390.1016949152545,6380.0,5532.0,7097.0,1131048.0,325.61983000163366,0.05287257335345321,1.9709769976602303
ID340114,340114,7,180.538330078125,197.13566431095424,5.25898076385474,0.0,0.0,0,1.5,1,,4167.440677966101,3293.0,2867.0,23947.0,737637.0,2825.003338319748,0.15092658445625004,0.38689986575066865
ID340125,340125,17,74.22378540039062,167.23078057786236,29.116940099611234,0.0,0.0,0,1.5,1,,5376.033898305085,5165.0,4029.0,8521.0,951558.0,896.1509162822225,0.0578328348500507,0.6559462880356665
ID340124,340124,18,82.46849060058594,30.411220247360056,27.936256365739823,0.0,0.0,0,1.5,1,,6283.887005649717,6280.0,5067.0,7630.0,1112248.0,503.78447175147693,0.07135920050910044,1.6616075538502604
ID340127,340127,11,71.16877746582031,24.43688499918528,31.563374149839262,0.0,0.0,0,1.5,1,,5196.016949152542,5177.0,3923.0,6477.0,919695.0,489.90718595205124,0.07338273080707604,1.4501936874979358
ID340126,340126,12,332.531982421875,125.6046241308626,29.911107826347425,0.0,0.0,0,1.5,1,,6509.864406779661,4867.0,3838.0,25734.0,1152246.0,3984.311046542542,0.21300189854397017,0.5738134143702452
ID340121,340121,5,183.7351531982422,147.70461627948816,17.02044395134453,0.0,0.0,0,1.5,1,,5510.858757062147,4769.0,3917.0,23295.0,975422.0,2419.4283315543757,0.14016423188172705,0.5600235660593672
ID340120,340120,6,68.59585571289062,14.181334358973906,15.29890488825357,0.0,0.0,0,1.5,1,,4894.214689265536,4759.0,3743.0,7251.0,866276.0,738.0662073106373,0.05657198338438913,0.7101008050825888
ID340123,340123,15,58.27713394165039,46.209934110607435,25.913683494193677,0.0,0.0,0,1.5,1,,5661.807909604519,5656.0,4961.0,6574.0,1002140.0,329.9538661702862,0.06417310053836058,2.0695344057647933
ID340122,340122,16,78.84209442138672,25.028020576443918,20.572246621661222,0.0,0.0,0,1.5,1,,5414.423728813559,5319.0,4135.0,6956.0,958353.0,609.4350831467677,0.07441305149111503,1.2306445235988166
ID340133,340133,26,63.7305793762207,11.762852654972452,48.8466738360723,0.0,0.0,0,1.5,1,,7364.847457627118,7519.0,5666.0,8276.0,1303578.0,508.84144745103816,0.051775086204949264,1.4249814922886916
ID340132,340132,23,58.142433166503906,30.602476490301818,45.30503477241309,0.0,0.0,0,1.5,1,,5104.446327683616,5079.0,3914.0,6196.0,903487.0,435.9662970456925,0.06375430056881615,1.4034400866071746
ID340135,340135,20,59.90545654296875,10.105253540504654,50.98678408356402,0.0,0.0,0,1.5,1,,7623.4915254237285,7654.0,6595.0,8595.0,1349358.0,413.8284547787786,0.03804764739748037,1.3504362516528108
ID340134,340134,25,404.7345275878906,198.69538161153918,50.80639603949155,0.0,0.0,0,1.5,1,,5580.118644067797,3594.0,2911.0,32124.0,987681.0,5253.416894847665,0.30546812671129536,0.4970856098445086
ID340129,340129,13,66.45002746582031,39.478352871388786,37.03363576374477,0.0,0.0,0,1.5,1,,5231.700564971751,5131.0,4052.0,7069.0,926011.0,622.3425372677501,0.0551130712790011,0.8782112558483368
ID340128,340128,14,98.52944946289062,71.44792949420392,32.98524894190254,0.0,0.0,0,1.5,1,,5586.762711864407,5420.0,4495.0,8330.0,988857.0,808.7788987175579,0.08151459016770068,1.0412700485259634
ID340131,340131,24,100.57411193847656,51.7882208942774,45.14715392235556,0.0,0.0,0,1.5,1,,6502.1581920903955,6383.0,5277.0,7973.0,1150882.0,637.5567602655857,0.09132377346587402,1.7068639422191632
ID340130,340130,,56.18914794921875,73.38802396455044,42.78869517630134,0.0,0.0,0,1.5,1,,5510.5084745762715,5424.0,4701.0,7398.0,975360.0,533.1317967556093,0.04356651261519696,0.8630177891775324
