LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID2040191,2040191,63,13111.3662109375,143.95575292578005,62.55182947606503,0.0,0.0,0,0.5,1,,19639.85714285714,17426.0,6480.0,42667.0,412437.0,10837.215893788009,0.6191028149419064,1.3859225008143279
ID2040190,2040190,64,6984.37255859375,58.540183001287275,58.7606048259505,0.0,0.0,0,0.5,1,,13140.142857142857,11321.0,5976.0,23973.0,275943.0,5629.035985723615,0.5219208291827642,1.6010637543585096
ID2040189,2040189,65,5683.03271484375,25.01295510683726,55.613003562221266,0.0,0.0,0,0.5,1,,11086.809523809523,10856.0,4407.0,19788.0,232823.0,4660.092924170586,0.4744239038259424,1.5310388277911677
ID2040188,2040188,66,23574.73828125,193.2141008846946,55.47357636417046,0.0,0.0,0,0.5,1,,29394.761904761905,22442.0,9876.0,65535.0,617290.0,19149.760841599986,0.7956230643861831,1.3602814547820965
ID2040187,2040187,67,16071.642578125,153.46152289150803,55.16217249529678,0.0,0.0,0,0.5,1,,21617.85714285714,19924.0,8385.0,48628.0,453975.0,12057.0972306178,0.7148325102017004,1.4947978429305027
ID2040186,2040186,68,12092.2861328125,116.12602935721577,54.80700751765723,0.0,0.0,0,0.5,1,,19038.95238095238,15190.0,9114.0,38745.0,399818.0,9394.273178251686,0.5965513504552965,1.5145192580782638
ID2040185,2040185,69,16582.2578125,146.08887035260742,44.645857889245036,0.0,0.0,0,0.5,1,,23588.809523809523,19743.0,7131.0,53352.0,495365.0,11940.211315630255,0.6865051598060685,1.6083484238663697
ID2040184,2040184,70,9087.20703125,139.06180124466692,44.517245795556256,0.0,0.0,0,0.5,1,,29357.285714285714,28693.0,21427.0,36705.0,616503.0,4433.903180526804,0.31138240889566027,3.144303144803735
ID2040183,2040183,71,19018.658203125,128.05451716838084,44.17623939090477,0.0,0.0,0,0.5,1,,23321.666666666668,16289.0,4628.0,65535.0,489755.0,17651.54971194692,0.6691255684771716,1.0593155676780728
ID2040182,2040182,72,11642.2001953125,112.5601589400326,44.16231869142194,0.0,0.0,0,0.5,1,,17127.14285714286,16068.0,5432.0,38089.0,359670.0,9584.947267907708,0.6144396710006246,1.3601368751619345
ID2040181,2040181,73,6326.4228515625,23.45599381047919,43.93199538460016,0.0,0.0,0,0.5,1,,11950.380952380952,10306.0,3112.0,22073.0,250958.0,5697.347852081621,0.4772514883518597,1.3552888476330849
ID2040180,2040180,74,19363.060546875,156.6276562593025,38.496293378136556,0.0,0.0,0,0.5,1,,26434.095238095237,22751.0,7673.0,60927.0,555116.0,14408.511966559081,0.7266048150462341,1.5441185427676274
ID2040179,2040179,75,12517.1376953125,116.792857312212,38.08224811772372,0.0,0.0,0,0.5,1,,18881.666666666668,15788.0,5848.0,41190.0,396515.0,9873.511727512827,0.6165686059329106,1.4587670432027873
ID2040178,2040178,76,27571.5078125,74.98855158448433,36.54527133632285,0.0,0.0,0,0.5,1,,40883.95238095238,35310.0,12539.0,65535.0,858563.0,18702.131738056465,0.7514001637733976,1.8757616696310473
ID2040177,2040177,77,24167.146484375,209.30259816316942,36.33395089167588,0.0,0.0,0,0.5,1,,27188.904761904763,18316.0,5533.0,65535.0,570967.0,20926.31944204418,0.7961402483486638,1.1518029691710292
ID2040176,2040176,78,6595.884765625,37.28092312918993,35.832718125700346,0.0,0.0,0,0.5,1,,11918.809523809523,10229.0,3295.0,23232.0,250295.0,5643.464358167309,0.5031888718434135,1.4139516674807764
ID2040175,2040175,79,8852.3837890625,42.205175254926694,32.39715154889628,0.0,0.0,0,0.5,1,,14518.52380952381,13966.0,2886.0,30978.0,304889.0,7557.987712473788,0.5397521624847862,1.3467588668633796
ID2040174,2040174,80,25683.951171875,189.24644908347673,31.491095336393734,0.0,0.0,0,0.5,1,,29783.52380952381,20672.0,7745.0,65535.0,625454.0,21125.241181153528,0.7965864237197389,1.2502278998049665
ID2040173,2040173,81,14150.685546875,80.14811761953018,29.33363145821679,0.0,0.0,0,0.5,1,,26429.714285714286,27123.0,8631.0,43534.0,555024.0,9580.83236542033,0.5630181442329902,1.9873648025905148
ID2040172,2040172,82,5618.3505859375,162.5082155261203,27.78308741499515,0.0,0.0,0,0.5,1,,14892.095238095239,15149.0,9589.0,20116.0,312734.0,3360.6215184807984,0.3893549065650626,2.483697210419593
ID2040171,2040171,83,27856.689453125,131.51573977513286,25.908507658577378,0.0,0.0,0,0.5,1,,50917.95238095238,59916.0,19711.0,65535.0,1069277.0,16944.38824058334,0.6801739589371041,2.432992576460568
ID2040170,2040170,84,11782.2451171875,85.43531258465778,25.593256414862317,0.0,0.0,0,0.5,1,,17773.95238095238,16071.0,4918.0,40650.0,373253.0,9159.648958754864,0.584237701544068,1.431213463124926
ID2040169,2040169,85,24421.943359375,156.3357556896811,17.75196929996019,0.0,0.0,0,0.5,1,,26688.85714285714,17043.0,5325.0,65535.0,560466.0,20602.170235889505,0.8265913815617789,1.1724557744197142
ID2040168,2040168,86,8144.8525390625,102.23906546035775,15.455083336528524,0.0,0.0,0,0.5,1,,12151.952380952382,11608.0,1953.0,29952.0,255191.0,7512.88590673511,0.5608885254728153,1.162449054359426
