LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID65417,65417,10,467.7693176269531,138.08571581707236,16.65203107562232,0.0,0.0,0,1.5,1,,3815.4576271186443,1239.0,569.0,21003.0,675336.0,4935.575691720845,0.7313966300921355,0.653123335495787
ID65418,65418,11,156.89012145996094,201.95252058274227,21.906155610344626,0.0,0.0,0,1.5,1,,2289.8192090395482,1769.0,1001.0,7531.0,405298.0,1332.8998125555927,0.41317182164647337,1.0045450290426108
ID65419,65419,12,407.4548034667969,197.11669529376522,28.530188876362995,0.0,0.0,0,1.5,1,,3704.830508474576,1741.0,632.0,14535.0,655755.0,3781.605595537471,0.7057436082426806,0.8106909204366283
ID65420,65420,13,111.69583129882812,152.01542478061572,28.76505166125831,0.0,0.0,0,1.5,1,,2673.6271186440677,2642.0,742.0,4652.0,473232.0,809.384029924463,0.372037620722409,1.7914184421879267
ID65421,65421,14,440.6957092285156,110.79769043403624,30.183922242635802,0.0,0.0,0,1.5,1,,3342.169491525424,1162.0,690.0,51381.0,591564.0,6809.919242994692,0.6744165897776496,0.3953495337767726
ID65422,65422,15,285.80126953125,165.12157303113202,31.862276752551967,0.0,0.0,0,1.5,1,,2813.762711864407,1585.0,918.0,24509.0,498036.0,3695.296359158597,0.5550319292988015,0.5435591968858376
ID65423,65423,16,160.37692260742188,196.30455039090623,42.364520960732875,0.0,0.0,0,1.5,1,,2342.0677966101694,1862.0,791.0,7806.0,414546.0,1355.1327115201852,0.42099537143831434,1.0240762333184208
ID65424,65424,17,367.1834411621094,164.33825199550134,49.7751532913685,0.0,0.0,0,1.5,1,,3198.937853107345,1519.0,862.0,32448.0,566212.0,5162.042986769113,0.6193989350424696,0.47405724342175043
ID65425,65425,18,321.60888671875,177.2268551055495,53.24008129131787,0.0,0.0,0,1.5,1,,3114.169491525424,1784.0,874.0,24033.0,551208.0,3804.3442369720083,0.5909715227883955,0.6081302150687702
ID65426,65426,19,183.64883422851562,205.8824677422049,60.62779777882076,0.0,0.0,0,1.5,1,,2490.0338983050847,1892.0,814.0,9821.0,440736.0,1697.649768792356,0.439899503481339,0.8962072364091822
ID65427,65427,20,374.044921875,141.20255352601404,63.52764912735361,0.0,0.0,0,1.5,1,,3455.2881355932204,1904.0,952.0,29801.0,611586.0,4657.374859433036,0.6148133047386424,0.564929180735629
ID65428,65428,21,183.30099487304688,97.12892390003428,66.05866951071836,0.0,0.0,0,1.5,1,,3319.0960451977403,3404.0,587.0,6457.0,587480.0,1461.303720855642,0.441726777368243,1.3918104326435634
ID65429,65429,22,114.39335632324219,40.81470481972052,67.06123865404764,0.0,0.0,0,1.5,1,,2739.6497175141244,2620.0,788.0,4904.0,484918.0,982.975533435246,0.31732999472652584,1.342761468361688
ID65430,65430,24,149.62684631347656,209.63198002657785,79.04771314843683,0.0,0.0,0,1.5,1,,2362.762711864407,1928.0,1223.0,7401.0,418209.0,1202.843614754736,0.38579529041510796,1.0937014240480898
ID65431,65431,25,313.4307861328125,141.30840139351488,92.02498054137071,0.0,0.0,0,1.5,1,,4144.9152542372885,4399.0,933.0,8172.0,733650.0,1925.8355178054499,0.6990569918606687,1.7710511169453085
ID65432,65432,26,440.8131103515625,64.95704925898406,92.75088334285621,0.0,0.0,0,1.5,1,,3756.005649717514,1830.0,887.0,39353.0,664813.0,6067.5277385375375,0.6555433198781955,0.49023612299701924
ID65433,65433,27,270.57373046875,145.62685162721203,104.21239345372965,0.0,0.0,0,1.5,1,,3002.64406779661,1921.0,1022.0,15527.0,531468.0,2748.2453147585734,0.5290291449424627,0.756035500092952
ID65434,65434,28,547.8184204101562,146.08518229263515,108.36640980609546,0.0,0.0,0,1.5,1,,4269.779661016949,1379.0,822.0,41518.0,755751.0,7433.007985884337,0.6644051039939747,0.4586113318780972
ID65435,65435,29,100.34620666503906,212.5073936229088,113.96022230287646,0.0,0.0,0,1.5,1,,2015.502824858757,1753.0,1155.0,4318.0,356744.0,734.6188105861263,0.2930279468555698,1.2435191929742417
ID65436,65436,30,275.0147399902344,203.6757662749878,124.3862054493595,0.0,0.0,0,1.5,1,,4203.672316384181,4495.0,1133.0,6727.0,744050.0,1374.8774056801267,0.6799843545741692,2.47507611120485
ID65437,65437,31,429.7550354003906,86.55100832582546,125.39408158889212,0.0,0.0,0,1.5,1,,4815.282485875706,4265.0,823.0,13132.0,852305.0,3214.969676687644,0.7338776825713318,1.2678857147730223
ID65438,65438,32,552.45703125,163.45478880781144,126.95760674780284,0.0,0.0,0,1.5,1,,4194.067796610169,1306.0,765.0,43439.0,742350.0,7452.7889361765565,0.7120065427215084,0.4680854960283992
ID65439,65439,33,491.94207763671875,59.82749707507965,133.97302341926692,0.0,0.0,0,1.5,1,,4640.576271186441,2419.0,894.0,18551.0,821382.0,4530.125988628002,0.6735712832285299,0.8245765472226432
ID65440,65440,34,279.24700927734375,55.32379626306523,138.56826952409892,0.0,0.0,0,1.5,1,,4237.372881355932,4457.0,918.0,9222.0,750015.0,2023.9722467524196,0.5711050109269395,1.5220638888695024
ID65441,65441,35,595.3093872070312,65.18903827551176,143.28281425088167,0.0,0.0,0,1.5,1,,4865.220338983051,1776.0,763.0,32082.0,861144.0,6537.240649473557,0.7069961153469927,0.6164850248105208
