LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID97921,97921,0,251.5168914794922,128.31647428857713,161.3661068535644,0.0,0.0,0,1.5,1,,8297.158192090395,7317.0,6041.0,29004.0,1468597.0,3449.2344156897384,0.10973414897884687,0.4757288667091845
ID97920,97920,1,456.1163635253906,121.57427665541101,160.26638114800167,0.0,0.0,0,1.5,1,,9323.604519774011,7060.0,5966.0,27165.0,1650278.0,4805.683244345122,0.1988972647399972,0.6437326526960013
ID97923,97923,2,251.83169555664062,127.48184184195266,166.32348766345018,0.0,0.0,0,1.5,1,,10398.152542372882,8958.0,7505.0,47113.0,1840473.0,5220.369819319532,0.04419341224172545,0.16860152411819163
ID97922,97922,3,276.60858154296875,64.47307399233091,165.79395513005753,0.0,0.0,0,1.5,1,,13214.71186440678,13184.0,9917.0,17501.0,2339004.0,1701.5970311089789,0.14242164299357138,1.9363352161495162
ID97925,97925,4,375.2166748046875,125.88742066354067,167.52422111181835,0.0,0.0,0,1.5,1,,10644.186440677966,8681.0,7406.0,52564.0,1884021.0,6135.506887468936,0.10588608285189632,0.3322159735434387
ID97924,97924,5,411.43170166015625,130.06682546290858,166.81687310670006,0.0,0.0,0,1.5,1,,10697.079096045198,8677.0,7320.0,49788.0,1893383.0,6457.174055975478,0.11357895129267591,0.337932180490921
ID97927,97927,6,881.9253540039062,139.79759360035453,170.90213635756422,0.0,0.0,0,1.5,1,,16841.689265536723,13091.0,8534.0,60096.0,2980979.0,10026.502016788718,0.27587432686777263,0.7263895508714379
ID97926,97926,7,382.33087158203125,133.96325866814598,170.35051505989367,0.0,0.0,0,1.5,1,,11828.327683615818,9748.0,8009.0,47269.0,2093614.0,6426.430099505598,0.09165428705113403,0.3090659875097095
ID97929,97929,8,439.48162841796875,85.09697823482378,172.56334801323743,0.0,0.0,0,1.5,1,,9459.045197740114,7304.0,6167.0,24864.0,1674251.0,4472.770786582875,0.19333786558185195,0.6852580593184668
ID97928,97928,9,425.7547302246094,143.38014522520047,171.92208175859537,0.0,0.0,0,1.5,1,,12728.45197740113,10351.0,9290.0,35767.0,2252936.0,5417.442650744093,0.11312260352901896,0.47754868287268143
ID97931,97931,10,675.395263671875,140.76344233861485,175.03787424551726,0.0,0.0,0,1.5,1,,14569.502824858757,11090.0,9787.0,63125.0,2578802.0,9062.475069009151,0.1885963897445749,0.5101840428140645
ID97930,97930,11,480.1864929199219,133.48987782304442,172.47591676082152,0.0,0.0,0,1.5,1,,13922.638418079096,10600.0,8411.0,61949.0,2464307.0,9064.107600002593,0.15952292110109142,0.422639654973094
ID97933,97933,12,994.1488037109375,132.9875265486522,181.26646372583986,0.0,0.0,0,1.5,1,,15368.372881355932,10206.0,8028.0,65535.0,2720202.0,13000.548101948572,0.2565537756101958,0.48271806654946503
ID97932,97932,13,321.6418762207031,133.89147652635475,177.20011608341338,0.0,0.0,0,1.5,1,,10489.83615819209,8738.0,7749.0,49201.0,1856701.0,6234.862452120895,0.07559416061494013,0.2364893768932339
ID97935,97935,14,462.49462890625,87.01231581576366,191.12967520262626,0.0,0.0,0,1.5,1,,12142.209039548023,9974.0,8420.0,27329.0,2149171.0,4546.961542453838,0.15519559520809958,0.7175138468209608
ID97934,97934,15,258.2328186035156,106.78209146982495,186.45942108494665,0.0,0.0,0,1.5,1,,14854.35593220339,14600.0,12301.0,18515.0,2629221.0,1476.1737097835357,0.09539218941339925,1.7526271379387808
ID97937,97937,16,485.5339660644531,60.19317515272711,200.31464937242959,0.0,0.0,0,1.5,1,,14157.525423728814,11775.0,10017.0,34385.0,2505882.0,5086.928623339651,0.13205776025424068,0.6493174030295947
ID97936,97936,17,325.4153137207031,140.75149070683145,200.00342158689955,0.0,0.0,0,1.5,1,,8706.350282485875,7373.0,5424.0,28002.0,1541024.0,3815.580474040321,0.14294893587150595,0.5707679958011184
ID97939,97939,18,328.19024658203125,157.27113330088616,208.65307217444726,0.0,0.0,0,1.5,1,,8430.25988700565,8315.0,4677.0,14887.0,1492156.0,2513.0541768356984,0.21958775427429936,1.2079923104575094
ID97938,97938,19,262.0093994140625,140.56991099219658,203.11072976667097,0.0,0.0,0,1.5,1,,8703.24858757062,7983.0,5956.0,17030.0,1540475.0,2343.3116851503555,0.14502270827036293,0.9408128428524284
ID97941,97941,20,453.8962097167969,161.89720520874474,216.87468399174725,0.0,0.0,0,1.5,1,,7050.1016949152545,4803.0,3995.0,38604.0,1247868.0,5813.576757631407,0.25947845416126797,0.499680643113035
ID97940,97940,21,492.8825988769531,90.16175297244966,216.57239570401066,0.0,0.0,0,1.5,1,,17844.70056497175,16379.0,12270.0,60348.0,3158512.0,7218.186989508588,0.08780307554387273,0.399089754173557
ID97943,97943,22,703.3597412109375,53.55757204409949,218.6768023496076,0.0,0.0,0,1.5,1,,15128.632768361582,13751.0,7176.0,53321.0,2677768.0,6809.035338802149,0.37270062604004356,1.2065029245474281
ID97942,97942,23,358.77618408203125,76.98028690605115,218.26821226578787,0.0,0.0,0,1.5,1,,18925.418079096045,17752.0,15067.0,53852.0,3349799.0,5705.887267203491,0.07388552051603196,0.45640841330053045
