LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID60672,60672,15,1106.7801513671875,144.6280793392431,24.049476221958045,0.0,0.0,0,0.5,1,,4037.095238095238,4076.0,2575.0,5242.0,84779.0,738.6799648536506,0.25048281703141323,2.189489572146351
ID60929,60929,112,1201.2435302734375,179.3607246252601,125.77031038752732,0.0,0.0,0,0.5,1,,2620.4761904761904,2520.0,1539.0,4313.0,55030.0,820.5080510907629,0.3635269230449475,1.7029434631355902
ID60674,60674,16,1002.6025390625,103.3457425065028,24.714534223099186,0.0,0.0,0,0.5,1,,2267.904761904762,2078.0,1471.0,3793.0,47626.0,700.6444108648769,0.33105972487964813,1.6101485811004255
ID60932,60932,113,691.0499267578125,207.51937806015508,127.5288895594968,0.0,0.0,0,0.5,1,,2783.809523809524,2728.0,1611.0,4094.0,58460.0,615.8712218514207,0.1856236962491738,1.4153574869787442
ID60677,60677,17,1093.0252685546875,167.23258031740818,24.64279286986999,0.0,0.0,0,0.5,1,,2411.190476190476,2249.0,1348.0,4242.0,50635.0,976.9496209655654,0.3257237978387132,1.2127904935994067
ID60679,60679,18,761.3372802734375,216.61055734037896,25.21677548457924,0.0,0.0,0,0.5,1,,4925.047619047619,4908.0,4015.0,5646.0,103426.0,438.98148892527075,0.14995618379107495,2.9260201263244094
ID60935,60935,114,1000.9092407226562,83.6351248218898,128.05746929009027,0.0,0.0,0,0.5,1,,2464.5714285714284,2437.0,1565.0,3807.0,51756.0,693.6965165999156,0.3209947317462412,1.726627726153829
ID60681,60681,19,789.94677734375,148.05347004943525,31.521369490854152,0.0,0.0,0,0.5,1,,2208.4761904761904,2012.0,1578.0,3115.0,46378.0,453.0379254596263,0.294793390129864,2.2197569534444024
ID60937,60937,115,1872.1868896484375,121.59823775592282,129.15727655241156,0.0,0.0,0,0.5,1,,3219.2380952380954,2738.0,1423.0,6423.0,67604.0,1497.8195119827324,0.44176236152628195,1.3170996592979685
ID60684,60684,20,1509.20556640625,69.9234012602385,38.11186951163372,0.0,0.0,0,0.5,1,,3148.904761904762,3042.0,1577.0,4795.0,66127.0,975.3159439259622,0.43692468818133373,1.9634361186284621
ID60940,60940,116,520.662353515625,185.16485114484178,131.67072273256957,0.0,0.0,0,0.5,1,,1886.4285714285713,1688.0,1288.0,3272.0,39615.0,555.6999704362572,0.14508633388215508,0.860237286338492
ID60685,60685,21,1457.636474609375,174.1107267991189,41.665452041428225,0.0,0.0,0,0.5,1,,2859.809523809524,2474.0,1558.0,5343.0,60056.0,1123.7484869421457,0.3649762376169522,1.360935311828785
ID60943,60943,117,1405.4207763671875,79.13921278808454,132.3924450181073,0.0,0.0,0,0.5,1,,2805.3333333333335,2678.0,1456.0,5679.0,58912.0,1342.9138592379384,0.3497539440697567,1.0826157159088574
ID60689,60689,22,1333.645263671875,69.93198624363082,45.6209589236254,0.0,0.0,0,0.5,1,,2580.095238095238,2309.0,1271.0,4980.0,54182.0,1145.287732614032,0.37180907289840304,1.2211736826195205
ID60691,60691,23,538.9172973632812,65.93014209460597,46.92134305982217,0.0,0.0,0,0.5,1,,1814.5238095238096,1865.0,1331.0,2506.0,38105.0,320.4265312123232,0.23862836358783843,2.181952242924288
ID60947,60947,,513.8447265625,193.85005895692305,132.5145171148369,0.0,0.0,0,0.5,1,,2491.4285714285716,2327.0,1706.0,3428.0,52320.0,490.7032271575735,0.12685492074463361,1.1431384557476736
ID60694,60694,24,828.6010131835938,138.75694035183918,46.98991004152426,0.0,0.0,0,0.5,1,,2317.4761904761904,2351.0,1349.0,3381.0,48667.0,607.0561439477916,0.2861696216141782,1.6987978368094607
ID60950,60950,118,1771.3743896484375,163.1217222053047,136.6849691974999,0.0,0.0,0,0.5,1,,3494.6190476190477,2747.0,2076.0,7826.0,73387.0,1611.694681885824,0.34756894364511853,1.1185026899657153
ID60696,60696,25,1035.9986572265625,165.1150313267447,47.63931932127035,0.0,0.0,0,0.5,1,,2761.2380952380954,2691.0,1806.0,4255.0,57986.0,726.2454753567765,0.29005983774927396,1.7097324607071125
ID60953,60953,119,1578.601318359375,98.27996870634142,141.72386763312286,0.0,0.0,0,0.5,1,,2831.809523809524,2449.0,1457.0,5800.0,59468.0,1273.9394655574345,0.3986629113723092,1.267179145834182
ID60699,60699,26,748.0762329101562,166.01687142397952,49.43114078393524,0.0,0.0,0,0.5,1,,2828.3333333333335,2731.0,2172.0,3768.0,59395.0,440.1426283982651,0.20775453099920776,2.2107466917943235
ID60956,60956,181,505.8271179199219,117.22743329582912,144.4967702082533,0.0,0.0,0,0.5,1,,2037.904761904762,2063.0,1363.0,3178.0,42796.0,486.9038821740801,0.17622280309156213,1.2541317216109311
ID60701,60701,27,620.7015991210938,19.653460165422498,51.21794898655238,0.0,0.0,0,0.5,1,,1682.904761904762,1542.0,1125.0,2535.0,35341.0,413.0026518997069,0.2852425755899154,1.8086975077083034
ID60959,60959,120,2477.798828125,166.74126368362468,148.91142963266498,0.0,0.0,0,0.5,1,,3869.2380952380954,3313.0,1570.0,8537.0,81254.0,2067.2793934241668,0.48904981355843924,1.2294196385821086
